BGEZAL_02 , BGEZAL , Success , yf4418 , stdout are the same with retcode=255
BGEZAL_01 , BGEZAL , Fail , yf4418 , stdout different or got incorrect retcode 0 Expected: 255
BGEZ_02 , BGEZ , Success , yf4418 , stdout are the same with retcode=255
BGEZ_01 , BGEZ , Success , yf4418 , stdout are the same with retcode=7
BEQ_01 , BEQ , Success , yf4418 , stdout are the same with retcode=7
BGEZAL_03 , BGEZAL , Success , yf4418 , stdout are the same with retcode=17
BGEZAL_02 , BGEZAL , Success , yf4418 , stdout are the same with retcode=255
BGEZAL_01 , BGEZAL , Success , yf4418 , stdout are the same with retcode=255
BGEZ_02 , BGEZ , Success , yf4418 , stdout are the same with retcode=255
BGEZAL_03 , BGEZAL , Success , yf4418 , stdout are the same with retcode=17
j_01 , j , Fail , yw14218 , stdout different or got incorrect retcode 235 Expected: 10
DIV_01 , DIV , Success , yw14218 , stdout are the same with retcode=2
DIVU_01 , DIVU , Success , yw14218 , stdout are the same with retcode=4
j_01 , j , Fail , yw14218 , stdout different or got incorrect retcode 235 Expected: 10
DIV_01 , DIV , Success , yw14218 , stdout are the same with retcode=2
DIVU_01 , DIVU , Success , yw14218 , stdout are the same with retcode=4
BNE_01 , BNE , Fail , yw14218 , stdout different or got incorrect retcode 0 Expected: 128
SLTU_01 , SLTU , Success , yw14218 , stdout are the same with retcode=246
BGEZAL_02 , BGEZAL , Success , yf4418 , stdout are the same with retcode=255
BGEZAL_01 , BGEZAL , Success , yf4418 , stdout are the same with retcode=255
j_01 , j , Fail , yw14218 , stdout different or got incorrect retcode 0 Expected: 10
DIV_01 , DIV , Success , yw14218 , stdout are the same with retcode=2
DIVU_01 , DIVU , Success , yw14218 , stdout are the same with retcode=4
BNE_01 , BNE , Fail , yw14218 , stdout different or got incorrect retcode 0 Expected: 128
SLTU_01 , SLTU , Success , yw14218 , stdout are the same with retcode=246
j_01 , j , Fail , yw14218 , stdout different or got incorrect retcode 0 Expected: 10
j_01 , j , Fail , yw14218 , stdout different or got incorrect retcode 0 Expected: 10
DIV_01 , DIV , Success , yw14218 , stdout are the same with retcode=2
j_01 , j , Fail , yw14218 , stdout different or got incorrect retcode 4 Expected: 10
DIV_01 , DIV , Success , yw14218 , stdout are the same with retcode=2
j_01 , j , Fail , yw14218 , stdout different or got incorrect retcode 9 Expected: 5
DIV_01 , DIV , Success , yw14218 , stdout are the same with retcode=2
DIVU_01 , DIVU , Success , yw14218 , stdout are the same with retcode=4
j_01 , j , Success , yw14218 , stdout are the same with retcode=9
DIV_01 , DIV , Success , yw14218 , stdout are the same with retcode=2
DIVU_01 , DIVU , Success , yw14218 , stdout are the same with retcode=4
BNE_01 , BNE , Fail , yw14218 , stdout different or got incorrect retcode 128 Expected: 96
SLTU_01 , SLTU , Success , yw14218 , stdout are the same with retcode=246
BGEZAL_02 , BGEZAL , Success , yf4418 , stdout are the same with retcode=255
BGEZAL_01 , BGEZAL , Success , yf4418 , stdout are the same with retcode=255
BGEZ_02 , BGEZ , Success , yf4418 , stdout are the same with retcode=255
BGTZ_01 , BGTZ , Fail , yw14218 , stdout different or got incorrect retcode 7 Expected: 0
BGTZ_01 , BGTZ , Success , yw14218 , stdout are the same with retcode=7
j_01 , j , Success , yw14218 , stdout are the same with retcode=9
BGTZ_02 , BGTZ , Success , yw14218 , stdout are the same with retcode=0
BGTZ_01 , BGTZ , Success , yw14218 , stdout are the same with retcode=7
BLEZ_02 , BLEZ , Fail , yw14218 , stdout different or got incorrect retcode 235 Expected: 1
BLEZ_01 , BLEZ , Fail , yw14218 , stdout different or got incorrect retcode 6 Expected: 7
BGTZ_02 , BGTZ , Success , yw14218 , stdout are the same with retcode=0
BLEZ_02 , BLEZ , Fail , yw14218 , stdout different or got incorrect retcode 235 Expected: 1
BLEZ_01 , BLEZ , Fail , yw14218 , stdout different or got incorrect retcode 6 Expected: 7
BGTZ_02 , BGTZ , Success , yw14218 , stdout are the same with retcode=0
BLEZ_02 , BLEZ , Success , yw14218 , stdout are the same with retcode=1
BLEZ_01 , BLEZ , Fail , yw14218 , stdout different or got incorrect retcode 6 Expected: 7
BGTZ_02 , BGTZ , Success , yw14218 , stdout are the same with retcode=0
BGTZ_01 , BGTZ , Success , yw14218 , stdout are the same with retcode=7
BLTZ_02 , BLTZ , Fail , yw14218 , stdout different or got incorrect retcode 1 Expected: 0
BLTZ_01 , BLTZ , Success , yw14218 , stdout are the same with retcode=1
BLTZ_02 , BLTZ , Success , yw14218 , stdout are the same with retcode=0
BLTZ_01 , BLTZ , Success , yw14218 , stdout are the same with retcode=1
BLTZAL_02 , BLTZAL , Success , yf4418 , stdout are the same with retcode=0
BLTZAL_02 , BLTZAL , Success , yf4418 , stdout are the same with retcode=0
BLTZAL_02 , BLTZAL , Success , yf4418 , stdout are the same with retcode=0
BLTZAL_01 , BLTZAL , Fail , yf4418 , stdout different or got incorrect retcode 1 Expected: 5
BLTZ_02 , BLTZ , Success , yw14218 , stdout are the same with retcode=0
BLTZ_01 , BLTZ , Success , yw14218 , stdout are the same with retcode=1
BLTZAL_02 , BLTZAL , Success , yf4418 , stdout are the same with retcode=0
BLTZAL_01 , BLTZAL , Fail , yf4418 , stdout different or got incorrect retcode 1 Expected: 5
BLTZ_02 , BLTZ , Fail , yw14218 , stdout different or got incorrect retcode 235 Expected: 0
BLTZ_01 , BLTZ , Success , yw14218 , stdout are the same with retcode=1
BLEZ_02 , BLEZ , Success , yw14218 , stdout are the same with retcode=1
BLTZAL_02 , BLTZAL , Success , yf4418 , stdout are the same with retcode=0
BLTZAL_01 , BLTZAL , Fail , yf4418 , stdout different or got incorrect retcode 1 Expected: 5
BLTZAL_02 , BLTZAL , Success , yf4418 , stdout are the same with retcode=0
BLTZAL_01 , BLTZAL , Fail , yf4418 , stdout different or got incorrect retcode 255 Expected: 5
BLTZ_02 , BLTZ , Success , yw14218 , stdout are the same with retcode=0
BLTZ_01 , BLTZ , Success , yw14218 , stdout are the same with retcode=1
BLTZAL_02 , BLTZAL , Success , yf4418 , stdout are the same with retcode=0
BLTZAL_01 , BLTZAL , Fail , yf4418 , stdout different or got incorrect retcode 255 Expected: 5
BLTZ_02 , BLTZ , Success , yw14218 , stdout are the same with retcode=0
BLTZ_01 , BLTZ , Success , yw14218 , stdout are the same with retcode=1
BLEZ_02 , BLEZ , Success , yw14218 , stdout are the same with retcode=1
BLTZAL_02 , BLTZAL , Success , yf4418 , stdout are the same with retcode=0
BLTZAL_01 , BLTZAL , Fail , yf4418 , stdout different or got incorrect retcode 5 Expected: 0
BLTZ_02 , BLTZ , Success , yw14218 , stdout are the same with retcode=0
LWL_02_lsb_21 , LWL , Fail , yf4418 , stdout different or got incorrect retcode 16 Expected: 0
LWL_02_lsb_21 , LWL , Fail , yf4418 , stdout different or got incorrect retcode 16 Expected: 0
MFHI_01_sra16 , MFHI , Fail , yf4418 , stdout different or got incorrect retcode 59 Expected: 0
MFHI-01 , MFHI , Fail , yf4418 , stdout different or got incorrect retcode 235 Expected: 0
MFLO-01-sra1 , MFLO , Fail , yf4418 , stdout different or got incorrect retcode 48 Expected: 0
MULT_02_NP , MULT , Fail , yf4418 , stdout different or got incorrect retcode 255 Expected: 0
MULT_03_NP_lo , MULT , Fail , yf4418 , stdout different or got incorrect retcode 160 Expected: 0
